"BUILDING.ID","BUILDING.ADDRESS","POSTAL.CODE","Longitude","Latitude","Census_Tract_GEOID"
"461780858099","6430 W SUNSET BLVD","90028",-118.32982,34.097984,"6037190802"
"461789836554","5877 FRANKLIN AVE","90028",-118.31749,34.105267,"6037189500"
"461789857947","1439 N CAHUENGA BLVD","90028",-118.329506,34.096916,"6037190802"
"461806859452","6400 HOLLYWOOD BLVD","90028",-118.32966,34.101597,"6037190700"
"461828857622","1415 N CAHUENGA BLVD","90028",-118.329506,34.096535,"6037190802"
"461874814314","6720 11TH AVE","90043",-118.329384,33.977848,"6037235202"
"461877834600","4025 W ADAMS BLVD","90018",-118.32871,34.032608,"6037218702"
"461883852840","5920 MELROSE AVE","90038",-118.32957,34.08347,"6037192300"
"461885814038","6812 11TH AVE","90043",-118.329384,33.977367,"6037235202"
"461889855257","1006 COLE AVE","90038",-118.32987,34.08916,"6037191810"
"461901854118","855 N CAHUENGA BLVD","90038",-118.3288,34.086296,"6037191820"
"461922856664","1230 COLE AVE","90038",-118.329865,34.093517,"6037190802"
"461938837164","4117 W WASHINGTON BLVD","90018",-118.32897,34.03988,"6037218110"
"461968858550","1520 N CAHUENGA BLVD","90028",-118.329506,34.098446,"6037190700"
"461969838603","1625 CRENSHAW BLVD","90019",-118.32872,34.044144,"6037218220"
"462016818420","3212 W SLAUSON AVE","90043",-118.328415,33.98902,"6037234700"
"462017857980","6410 W SUNSET BLVD","90028",-118.32923,34.097984,"6037190802"
"462028859618","6381 HOLLYWOOD BLVD","90028",-118.32914,34.101612,"6037190201"
"462039834601","4015 W ADAMS BLVD","90018",-118.32861,34.032608,"6037218702"
"462063814725","3201 W 67TH ST","90043",-118.32806,33.97817,"6037234901"
"462068860305","6376 YUCCA ST","90028",-118.32913,34.10397,"6037190201"
"462073859165","1617 COSMO ST","90028",-118.32883,34.10121,"6037190700"
"462087860771","6400 FRANKLIN AVE","90028",-118.33046,34.10524,"6037190201"
"462119810907","7860 10TH AVE","90043",-118.32866,33.96763,"6037235202"
"462130816093","6323 10TH AVE","90043",-118.32793,33.982544,"6037234901"
"462145855518","6372 SANTA MONICA BLVD","90038",-118.328255,34.09073,"6037191810"
"462147814122","6811 10TH AVE","90043",-118.32796,33.976665,"6037235202"
"462159815686","6419 10TH AVE","90043",-118.32793,33.981606,"6037234901"
"462160815803","6407 10TH AVE","90043",-118.32793,33.981724,"6037234901"
"462163815984","6329 10TH AVE","90043",-118.32793,33.982487,"6037234901"
"462180859447","6360 HOLLYWOOD BLVD","90028",-118.32857,34.101604,"6037190700"
"462214859901","1741 IVAR AVE","90028",-118.32818,34.102535,"6037190201"
"462221859617","6349 HOLLYWOOD BLVD","90028",-118.32832,34.101616,"6037190201"
"462225861500","2005 IVAR AVE","90068",-118.328316,34.10707,"6037189600"
"462227856820","6350 W FOUNTAIN AVE","90028",-118.3278,34.094357,"6037190802"
"462227859095","1623 N IVAR AVE","90028",-118.328156,34.10027,"6037190700"
"462235854743","946 N CAHUENGA BLVD","90038",-118.32879,34.087986,"6037191810"
"462237845214","4525 WILSHIRE BLVD","90010",-118.3292,34.061947,"6037211000"
